date,neutral,rank_home,total_points_home,rank_change_home,rank_away,total_points_away,rank_change_away,winner,home_goals_avg,away_goals_avg,home_win_avg,away_win_avg,home_last_wins,away_last_wins,home_team_encoded,away_team_encoded,confederation_home_encoded,confederation_away_encoded,tournament_encoded
2023-03-27,False,13.0,1652.74,-3.0,74.0,1326.86,0.0,0,2.5714285714285716,0.7142857142857143,0.5714285714285714,0.14285714285714285,5,0,192,57,2,2,19
2023-03-27,False,6.0,1740.92,-2.0,200.0,858.04,-4.0,0,1.7142857142857142,0.8571428571428571,0.7142857142857143,0.2857142857142857,2,0,128,72,5,5,79
2023-03-27,False,36.0,1493.33,0.0,71.0,1336.71,-1.0,0,1.4285714285714286,1.5714285714285714,0.7142857142857143,0.2857142857142857,1,2,83,30,5,5,79
2023-03-27,False,23.0,1558.45,-2.0,121.0,1151.82,-2.0,0,1.5714285714285714,1.4285714285714286,0.5714285714285714,0.5714285714285714,2,0,174,13,5,5,79
2023-03-27,False,128.0,1127.34,0.0,79.0,1305.47,-2.0,0,0.42857142857142855,1.4285714285714286,0.0,0.5714285714285714,0,3,172,67,1,1,7
2023-03-27,False,75.0,1321.24,0.0,100.0,1208.47,1.0,0,1.8571428571428572,0.14285714285714285,0.8571428571428571,0.14285714285714285,3,2,138,102,0,0,42
2023-03-27,False,31.0,1506.91,2.0,46.0,1445.06,-1.0,0,0.42857142857142855,0.8571428571428571,0.14285714285714285,0.42857142857142855,2,3,40,143,3,3,42
2023-03-27,True,132.0,1116.97,0.0,102.0,1200.74,0.0,0,1.1428571428571428,0.7142857142857143,0.2857142857142857,0.14285714285714285,2,1,38,110,1,1,7
2023-03-28,False,42.0,1476.94,2.0,10.0,1692.71,3.0,0,2.142857142857143,2.2857142857142856,0.7142857142857143,0.5714285714285714,0,2,157,170,5,5,79
2023-03-28,True,126.0,1137.57,0.0,45.0,1449.05,-1.0,0,0.5714285714285714,1.7142857142857142,0.5714285714285714,0.7142857142857143,1,2,68,114,1,1,7
2023-03-28,False,52.0,1432.64,-1.0,97.0,1221.68,0.0,0,1.8571428571428572,0.42857142857142855,0.5714285714285714,0.2857142857142857,3,0,151,18,5,5,79
2023-03-28,False,12.0,1655.02,-3.0,76.0,1315.67,0.0,0,1.7142857142857142,2.0,0.5714285714285714,0.5714285714285714,0,0,175,89,5,5,79
2023-03-28,False,53.0,1431.64,12.0,81.0,1300.78,1.0,0,1.0,0.8571428571428571,0.2857142857142857,0.42857142857142855,2,3,35,81,2,2,19
2023-03-28,True,87.0,1269.07,0.0,169.0,977.47,0.0,0,3.2857142857142856,2.4285714285714284,0.7142857142857143,0.2857142857142857,5,0,80,22,2,2,19
2023-03-28,False,28.0,1530.28,9.0,133.0,1116.96,-1.0,0,0.7142857142857143,1.7142857142857142,0.14285714285714285,0.5714285714285714,1,0,198,101,5,5,79
2023-03-28,False,148.0,1056.64,-1.0,108.0,1187.02,0.0,0,1.2857142857142858,1.0,0.5714285714285714,0.5714285714285714,1,0,98,180,0,0,42
2023-03-28,False,85.0,1280.27,0.0,90.0,1251.46,0.0,0,1.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,2,3,15,176,0,0,42
2023-03-28,True,113.0,1164.13,-2.0,33.0,1499.3,-10.0,0,1.0,0.5714285714285714,0.42857142857142855,0.42857142857142855,0,0,126,34,1,1,7
2023-03-28,False,106.0,1192.09,0.0,94.0,1232.91,-1.0,0,1.2857142857142858,1.8571428571428572,0.5714285714285714,0.5714285714285714,3,1,85,99,0,0,77
2023-03-28,False,24.0,1551.73,4.0,101.0,1202.26,0.0,0,1.0,1.2857142857142858,0.42857142857142855,0.7142857142857143,1,0,87,96,0,1,42
2023-03-28,True,84.0,1289.99,0.0,134.0,1113.15,1.0,0,1.5714285714285714,0.5714285714285714,0.7142857142857143,0.2857142857142857,0,0,94,145,0,0,42
2023-03-28,False,145.0,1066.6,-1.0,146.0,1062.39,1.0,0,2.0,1.0,0.7142857142857143,0.42857142857142855,3,2,112,82,0,0,42
2023-03-28,False,70.0,1338.48,0.0,111.0,1173.4,0.0,0,0.5714285714285714,1.8571428571428572,0.2857142857142857,0.42857142857142855,3,2,191,182,0,0,42
2023-03-31,False,175.0,956.94,0.0,187.0,905.51,0.0,0,1.0,1.0,0.42857142857142855,0.42857142857142855,1,0,127,100,0,0,77
2023-06-07,False,15.0,1631.87,0.0,116.0,1164.64,-3.0,0,1.7142857142857142,1.5714285714285714,0.5714285714285714,0.5714285714285714,4,1,118,76,2,2,42
2023-06-10,False,58.0,1399.23,-3.0,140.0,1079.17,-2.0,0,1.0,1.2857142857142858,0.5714285714285714,0.42857142857142855,5,0,141,131,2,2,42
2023-06-11,False,31.0,1511.32,0.0,165.0,986.2,-3.0,0,0.8571428571428571,2.2857142857142856,0.2857142857142857,0.8571428571428571,2,0,40,48,3,2,42
2023-06-11,False,74.0,1318.36,-3.0,73.0,1333.54,-2.0,0,2.142857142857143,1.8571428571428572,0.8571428571428571,0.8571428571428571,1,4,194,138,0,0,15
2023-06-11,False,180.0,932.02,0.0,195.0,861.18,0.0,0,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.0,0,0,117,139,1,0,57
2023-06-13,True,24.0,1553.23,0.0,155.0,1023.04,0.0,0,1.1428571428571428,1.0,0.5714285714285714,0.2857142857142857,0,0,87,0,0,0,15
2023-06-14,False,74.0,1318.36,-3.0,137.0,1095.2,2.0,0,2.142857142857143,0.8571428571428571,0.8571428571428571,0.2857142857142857,5,0,194,187,0,0,15
2023-06-14,True,129.0,1129.81,2.0,150.0,1046.02,3.0,0,1.0,0.8571428571428571,0.42857142857142855,0.2857142857142857,0,0,183,103,1,1,42
2023-06-14,False,138.0,1082.13,-7.0,134.0,1103.61,-2.0,0,2.142857142857143,1.5714285714285714,0.8571428571428571,0.7142857142857143,0,0,112,165,0,4,42
2023-06-14,False,16.0,1631.29,0.0,140.0,1079.17,-2.0,0,2.0,1.2857142857142858,0.7142857142857143,0.2857142857142857,0,0,193,131,3,2,42
2023-06-15,False,20.0,1588.59,0.0,75.0,1318.3,1.0,0,1.2857142857142858,0.5714285714285714,0.42857142857142855,0.14285714285714285,1,0,93,57,0,2,42
2023-06-15,True,10.0,1682.85,0.0,8.0,1713.66,0.0,0,2.142857142857143,1.5714285714285714,0.5714285714285714,0.5714285714285714,3,2,170,90,5,5,80
2023-06-15,False,95.0,1229.69,-1.0,147.0,1057.03,1.0,0,1.4285714285714286,1.0,0.5714285714285714,0.42857142857142855,3,1,197,82,0,0,42
2023-06-15,False,136.0,1097.67,2.0,174.0,963.1,-1.0,0,0.14285714285714285,1.2857142857142858,0.14285714285714285,0.5714285714285714,3,0,145,127,0,0,42
2023-06-15,True,1.0,1840.93,-1.0,29.0,1532.79,2.0,0,2.2857142857142856,1.4285714285714286,1.0,0.5714285714285714,3,0,8,11,3,0,42
2023-06-15,False,13.0,1653.77,0.0,15.0,1631.87,0.0,0,2.2857142857142856,1.8571428571428572,0.5714285714285714,0.5714285714285714,3,2,192,118,2,2,19
2023-06-16,False,19.0,1594.53,1.0,62.0,1385.93,3.0,0,1.5714285714285714,1.0,0.42857142857142855,0.2857142857142857,0,1,51,136,5,5,79
